0,1,0
0.1,1,0.1
0.2,1,0.2
0.3,1,0.3
0.4,1,0.4
0.5,1,0.5
0.6,1,0.6
0.7,1,0.7
0.8,1,0.8
0.9,1,0.9
1,1,1
1.1,1,1.1
1.2,1,1.2
1.3,1,1.3
1.4,1,1.4
1.5,1,1.5
1.6,1,1.6
1.7,1,1.7
1.8,1,1.8
1.9,1,1.9
2,1,2
2.1,1,2.1
2.2,1,2.2
2.3,1,2.3
2.4,1,2.4
2.5,1,2.5
2.6,1,2.6
2.7,1,2.7
2.8,1,2.8
2.9,1,2.9
3,1,3
3.1,1,3.10001
3.2,1,3.20002
3.3,1,3.30005
3.4,1,3.40008
3.5,1,3.50012
3.6,1,3.60017
3.7,1,3.70023
3.8,1,3.8003
3.9,1,3.90037
4,1,4.00045
4.1,1,4.10054
4.2,1,4.20064
4.3,1,4.30075
4.4,1,4.40086
4.5,1,4.50099
4.6,1,4.60112
4.7,1,4.70126
4.8,1,4.80141
4.9,1,4.90156
5,1,5.00173
5.1,1,5.1019
5.2,1,5.20208
5.3,1,5.30227
5.4,1,5.40247
5.5,1,5.50267
5.6,1,5.60289
5.7,1,5.70311
5.8,1,5.80334
5.9,1,5.90358
6,1,6.00382
6.1,1,6.10408
6.2,1,6.20434
6.3,1,6.30461
6.4,1,6.40489
6.5,1,6.50518
6.6,1,6.60548
6.7,1,6.70578
6.8,1,6.80609
6.9,1,6.90641
7,1,7.00673
7.1,1,7.10706
7.2,1,7.20738
7.3,1,7.3077
7.4,1,7.40802
7.5,1,7.50834
7.6,1,7.60866
7.7,1,7.70898
7.8,1,7.8093
7.9,1,7.90962
8,1,8.00994
8.1,1,8.11026
8.2,1,8.21058
8.3,1,8.31091
8.4,1,8.41123
8.5,1,8.51155
8.6,1,8.61187
8.7,1,8.71219
8.8,1,8.81251
8.9,1,8.91283
9,1,9.01315
9.1,1,9.11347
9.2,1,9.21379
9.3,1,9.31411
9.4,1,9.41443
9.5,1,9.51476
9.6,1,9.61508
9.7,1,9.7154
9.8,1,9.81572
9.9,1,9.91604
